ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_GFP,Intensity_IntegratedIntensityEdge_Tubulin,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_Tubulin,Intensity_LowerQuartileIntensity_GFP,Intensity_LowerQuartileIntensity_Tubulin,Intensity_MADIntensity_GFP,Intensity_MADIntensity_Tubulin,Intensity_MassDisplacement_GFP,Intensity_MassDisplacement_Tubulin,Intensity_MaxIntensityEdge_GFP,Intensity_MaxIntensityEdge_Tubulin,Intensity_MaxIntensity_GFP,Intensity_MaxIntensity_Tubulin,Intensity_MeanIntensityEdge_GFP,Intensity_MeanIntensityEdge_Tubulin,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_Tubulin,Intensity_MedianIntensity_GFP,Intensity_MedianIntensity_Tubulin,Intensity_MinIntensityEdge_GFP,Intensity_MinIntensityEdge_Tubulin,Intensity_MinIntensity_GFP,Intensity_MinIntensity_Tubulin,Intensity_StdIntensityEdge_GFP,Intensity_StdIntensityEdge_Tubulin,Intensity_StdIntensity_GFP,Intensity_StdIntensity_Tubulin,Intensity_UpperQuartileIntensity_GFP,Intensity_UpperQuartileIntensity_Tubulin
2,3,1.9487602040171623,10.631265789270401,20.750560764223337,143.21922819688916,0.01733424887061119,0.09082169830799103,0.0014648661017417908,0.0314946249127388,0.16633819197824992,1.9791189149925636,0.02246128022670746,0.2700236439704895,0.026123445481061935,0.2893110513687134,0.018044075963121874,0.09843764619694816,0.0187279429279994,0.1292592312246292,0.01879911497235298,0.11889830231666565,0.013183794915676117,0.030518043786287308,0.011963073164224625,0.030518043786287308,0.0019813603448680917,0.06727087502314577,0.002058384271987904,0.053456499180294915,0.020019836723804474,0.1574731022119522
2,4,2.1887541003525257,12.949904706329107,26.427649341523647,303.55248545110226,0.018310826271772385,0.09655909053981304,0.0014648661017417908,0.10498206317424774,0.3754263068593184,3.0473733910275254,0.02539101243019104,0.3195849657058716,0.027588311582803726,0.5900968909263611,0.01903264435089153,0.11260786701155745,0.01979599201612258,0.22738013891468334,0.019775692373514175,0.24304570257663727,0.01416037231683731,0.02880903333425522,0.013183794915676117,0.02880903333425522,0.0019157480366457107,0.08631144786216631,0.0021639939963068434,0.12990769397628976,0.021240558475255966,0.32574960589408875
2,5,1.8664835579693317,10.40909444540739,20.234683752059937,162.58988478407264,0.017090104520320892,0.06598001159727573,0.0014648661017417908,0.07336537539958954,0.3160027118875927,2.8997164567099283,0.02246128022670746,0.41992828249931335,0.025879301130771637,0.41992828249931335,0.017443771569806837,0.0972812564991345,0.0184454728824612,0.1482132039964199,0.018310826271772385,0.13965056836605072,0.012939650565385818,0.022705424576997757,0.01269550621509552,0.022705424576997757,0.0019913520102278846,0.094110904660358,0.002270994824509426,0.09067157159049105,0.020019836723804474,0.21283283829689026
3,1,2.095735102891922,8.69495702907443,20.878736548125744,90.66642427444458,0.017090104520320892,0.06616312265396118,0.0012207217514514923,0.01123064011335373,0.05781930315079081,1.6045546127336527,0.02197299152612686,0.1411154419183731,0.02392614632844925,0.1411154419183731,0.018383641253437912,0.07627155288661781,0.018266611153215873,0.07932320583940908,0.018310826271772385,0.07666132599115372,0.013916227966547012,0.043701838701963425,0.010498207062482834,0.043701838701963425,0.001662463300517191,0.022010051904074252,0.0018867376453731476,0.01719979366345259,0.019531548023223877,0.08892958052456379
3,2,2.247837033122778,9.828275099396706,25.597802694886923,118.34775529429317,0.01757839322090149,0.07446403056383133,0.0012207217514514923,0.01269550621509552,0.20686065210570037,1.8273131375306302,0.02368200197815895,0.14697490632534027,0.024658579379320145,0.14697490632534027,0.018577165562998165,0.08122541404460087,0.018766717518245546,0.08676521649141727,0.01879911497235298,0.08642710000276566,0.01416037231683731,0.03979552909731865,0.011963073164224625,0.03979552909731865,0.0018066736454424197,0.02998165885929883,0.0019296208685414815,0.01953251377992076,0.020019836723804474,0.10034333169460297
3,3,2.1755703054368496,10.869550827890635,22.326268400996923,109.53341180458665,0.017090104520320892,0.07397574186325073,0.0012207217514514923,0.013672083616256714,0.06202066823875745,0.8851100194346752,0.02368200197815895,0.1445334553718567,0.025879301130771637,0.1748073548078537,0.01812975254530708,0.09057959023242196,0.018466723243173635,0.09059835550420732,0.018554970622062683,0.08618295937776566,0.013183794915676117,0.05688563361763954,0.012451361864805222,0.05688563361763954,0.0018431135546989636,0.020039143238141478,0.0018782248618688672,0.02147317567009196,0.019775692373514175,0.10254062712192535
3,4,2.179964903742075,10.987228348851204,23.772823676466942,121.76016096025705,0.01733424887061119,0.07763790339231491,0.0012207217514514923,0.013427942991256714,0.1559592224275117,1.7026852449048417,0.024414435029029846,0.1577172577381134,0.024658579379320145,0.18213169276714325,0.01831903280455525,0.09232964999034625,0.01863073955835967,0.09542332363656508,0.018554970622062683,0.08838025480508804,0.01269550621509552,0.04956130310893059,0.01269550621509552,0.04956130310893059,0.0020725841845659447,0.026718546534333677,0.0018713323006433365,0.024266840670181273,0.019775692373514175,0.1101091057062149
3,5,2.1418783850967884,11.743587534874678,25.86660562455654,193.6689731143415,0.017090104520320892,0.09784085117280483,0.0014648661017417908,0.030884258449077606,0.18766162483344664,3.000254262272193,0.02221713587641716,0.3205615282058716,0.026611734181642532,0.35449761152267456,0.017556380205711382,0.09625891422028424,0.018384225745953477,0.13764674706065494,0.018310826271772385,0.1431906670331955,0.013916227966547012,0.032715342938899994,0.012451361864805222,0.032715342938899994,0.0017894528245628518,0.07021910696972315,0.0019146419619391047,0.05609478199949799,0.019775692373514175,0.16699473559856415
3,6,2.075226977467537,9.523094706237316,21.884122982621193,103.65099776163697,0.017090104520320892,0.07617303729057312,0.0012207217514514923,0.010254062712192535,0.07447837600515123,1.0478056300841116,0.024902723729610443,0.1591821163892746,0.02563515678048134,0.16772717237472534,0.018364840508562272,0.08427517439148068,0.018436497879209094,0.08732181782783233,0.018554970622062683,0.08496223390102386,0.01416037231683731,0.035889219492673874,0.013427939265966415,0.03491264209151268,0.0019247897302275285,0.028632619025213014,0.0018628083413963956,0.0187434474180895,0.019531548023223877,0.09692531079053879
3,7,1.921416036784649,9.628809195011854,20.984939340502024,107.65740638971329,0.01733424887061119,0.07348745316267014,0.0012207217514514923,0.018310829997062683,0.1429483219506689,2.160959111995896,0.021484702825546265,0.1926298886537552,0.02392614632844925,0.21777676045894623,0.01829920035032999,0.0917029447143986,0.018537932279595427,0.09510371589197286,0.018554970622062683,0.09033340960741043,0.013427939265966415,0.05102616921067238,0.012207217514514923,0.05078202486038208,0.001741871890980713,0.02939683592719467,0.0018801244539382192,0.026552096867018034,0.019775692373514175,0.1118181124329567
